Subject,Hand,Trial,Reach Index,Duration (s),Accuracy (mm)
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT05.csv,14,1.02,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT05.csv,15,0.9,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,0,0.75,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,1,0.775,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,2,0.755,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,3,0.795,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,4,0.735,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,5,0.68,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,6,0.89,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,7,0.865,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,8,0.89,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,9,0.845,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,10,0.86,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,11,0.905,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,12,1.06,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,13,1.045,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,14,0.905,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT07.csv,15,0.9450000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT09.csv,0,0.8150000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT09.csv,1,0.7000000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT09.csv,2,0.77,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT09.csv,3,0.8250000000000001,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT09.csv,4,1.025,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT09.csv,5,0.77,
07/22/HW,right,/Users/yilinwu/Desktop/Yilin-Honours/Subject/Traj/2025/07/22/HW/HW_tBBT09.csv,6,0.785,
